,Area,Perimeter,Convex Area,Solidity,Equivalent Diameter,Major Axis,Minor Axis,Eccentricity,Class
0,6314.5,521.9726493358612,9855.5,0.6407082339810258,89.66532833392283,86.29753875732422,146.95289611816406,(8.439724311699382e-17+1.3783115780934465j),1
1,52776.5,1189.8204090595245,59947.0,0.8803860076400821,259.2240861353654,209.59024047851562,405.8614196777344,(1.015395044877726e-16+1.6582659515946696j),1
2,50232.5,1415.3494101762772,69628.5,0.7214359062740113,252.89920013892703,223.6327362060547,373.07763671875,(8.176507178841775e-17+1.3353249581078526j),1
3,4486.0,275.6223648786545,4741.5,0.9461140989138458,75.57613775314229,64.8183822631836,93.0833969116211,(6.311037889163952e-17+1.0306707033502136j),1
4,145.0,92.0832599401474,323.5,0.4482225656877898,13.58748446131949,16.900970458984375,28.915042877197266,(8.50007943665633e-17+1.3881683180120858j),1
5,4767.5,496.3157956600189,6550.0,0.7278625954198473,77.91129269576322,69.41056823730469,107.68180847167969,(7.262588835619335e-17+1.1860707659834382j),1
6,32059.0,1447.5676636695862,57016.0,0.5622807632945138,202.03659709236982,203.8814697265625,340.5203552246094,(8.191247381174276e-17+1.3377322158319185j),1
7,54709.0,1369.2346241474152,63054.5,0.8676462425362187,263.9273806426988,261.2904052734375,279.0409851074219,(2.2950585258151318e-17+0.3748115011467863j),1
8,4123.5,279.8650050163269,4550.5,0.9061641577848588,72.45828636336526,63.913658142089844,88.79299926757812,(5.905213495165269e-17+0.9643945502126342j),1
9,12913.0,1399.307778954506,25064.5,0.5151908077160925,128.22379748379456,128.97732543945312,195.83187866210938,(6.995957270652532e-17+1.142526526917539j),1
10,9538.0,2055.890602707863,74793.5,0.1275244506541344,110.2005389173936,269.5943908691406,331.2054138183594,(4.369825605604119e-17+0.7136466789684278j),1
11,6028.5,542.3990564346313,8285.5,0.7275964033552592,87.61121272665919,74.48892211914062,129.7051239013672,(8.728587461287102e-17+1.4254865104557959j),1
12,395.0,76.08326041698456,408.5,0.966952264381885,22.42609239636699,22.053640365600586,23.88254165649414,(2.544914224480713e-17+0.4156160333334609j),1
13,3008.0,313.07820785045624,4086.5,0.7360822219503242,61.88622262316039,49.959129333496094,113.80352020263672,(1.2532415844192435e-16+2.0466988282528464j),1
14,1160.5,203.58073377609253,1674.0,0.6932497013142175,38.43949130341291,27.0394344329834,69.99866485595703,(1.4621187268097827e-16+2.3878210890319833j),1
15,2111.0,388.61731350421906,4407.5,0.4789563244469654,51.844080461861104,65.21904754638672,104.9911117553711,(7.724817162491552e-17+1.2615583804032102j),1
16,6403.5,1622.3199716806412,91829.5,0.06973249337086666,90.29501328817453,337.6961975097656,465.7452392578125,(5.815940638199986e-17+0.949815186264198j),1
17,791.0,118.56854116916656,842.0,0.9394299287410927,31.735350634355903,32.020904541015625,37.813594818115234,(3.8461164231922116e-17+0.6281184788740766j),1
18,60164.5,938.3645669221878,60763.5,0.9901421083380648,276.77395215088194,242.0734100341797,319.2044372558594,(5.263047340893037e-17+0.8595208585132261j),1
19,59864.5,932.5655763149261,60230.0,0.9939315955503901,276.08304679171835,243.40708923339844,317.0455017089844,(5.110569307442492e-17+0.8346193059093723j),1
20,9546.5,2056.476388692856,74811.0,0.12760823943003036,110.24963180806651,269.766845703125,331.07232666015625,(4.356332836684627e-17+0.711443142580812j),1
21,12535.5,1353.8346898555756,28015.5,0.4474487337366815,126.33564149925243,160.57205200195312,194.8794708251953,(4.2110956930432574e-17+0.6877241170229957j),1
22,1187.0,581.4558436870575,1959.0,0.6059213884635017,38.875896640471694,9.854265213012695,277.5155944824219,(1.7233362871328803e-15+28.144217391214088j),1
23,3294.5,1147.0752437114716,46929.5,0.0702010462502264,64.76640857828998,288.832275390625,329.5915222167969,(3.3658232515942594e-17+0.5496806514233616j),1
24,9700.0,446.47517585754395,10448.5,0.9283629229075944,111.13245963232829,95.43159484863281,137.88380432128906,(6.385729611545914e-17+1.0428687873094362j),1
25,6653.0,1525.307779431343,84025.5,0.07917834466917781,92.03728967719029,383.9801330566406,402.4076232910156,(1.9196566943250928e-17+0.3135037295098689j),1
26,4415.0,1019.3178831338882,29665.5,0.1488260774300113,74.97567999028581,286.70758056640625,417.10491943359375,(6.470003749082371e-17+1.056631798423356j),1
27,827.5,120.12488996982574,879.5,0.9408754974417283,32.459293326693775,24.040611267089844,45.99359130859375,(9.987049106804114e-17+1.63100889395334j),1
28,232.0,129.88224935531616,371.0,0.6253369272237197,17.186959427966244,10.484235763549805,51.548316955566406,(2.9477113870941833e-16+4.813978020677464j),1
29,2859.0,340.3919162750244,5017.5,0.5698056801195814,60.334002506031624,73.6178207397461,96.13848114013672,(5.142821046562889e-17+0.8398864146206925j),1
30,930.0,486.96045756340027,6480.0,0.14351851851851852,34.41093978088511,308.28839111328125,418.62432861328125,(5.625010192002307e-17+0.9186338780975312j),1
31,10355.0,473.58787417411804,11766.0,0.8800781913989462,114.82332291713479,102.63204193115234,140.72467041015625,(5.744338472022769e-17+0.9381216651237241j),1
32,606.5,154.12489008903503,935.0,0.6486631016042781,27.788842794939775,25.345823287963867,48.70490264892578,(1.0047707289849498e-16+1.6409151270137812j),1
33,710.5,160.6101713180542,1046.5,0.6789297658862876,30.077178998940926,18.762712478637695,67.59085845947266,(2.1191441542112772e-16+3.4608250406349126j),1
34,32059.0,1447.5676636695862,57016.0,0.5622807632945138,202.03659709236982,203.8814697265625,340.5203552246094,(8.191247381174276e-17+1.3377322158319185j),1
35,2130.5,302.1492748260498,2916.5,0.7304988856506086,52.08298042603039,46.84341049194336,71.76899719238281,(7.107552965886852e-17+1.1607514870141182j),1
36,733.5,145.15432798862457,920.0,0.7972826086956522,30.560124444498616,19.838106155395508,56.872528076171875,(1.6451716533430848e-16+2.6867692047838077j),1
37,366.0,77.25483298301697,387.5,0.944516129032258,21.587164551489145,21.50051498413086,23.174606323242188,(2.462943440474337e-17+0.4022291883976889j),1
38,1565.5,512.6589423418045,7341.5,0.21323980113055915,44.645901349204465,175.72824096679688,247.44033813476562,(6.070049218583246e-17+0.991314266743595j),1
39,87655.5,1512.25692152977,89237.5,0.9822720268945231,334.0755137892226,307.8553771972656,367.3231201171875,(3.9855121863294117e-17+0.6508835346002261j),1
40,1325.5,160.1248903274536,1518.5,0.8729008890352321,41.08137067511816,36.290924072265625,53.99237060546875,(6.745139061728791e-17+1.1015648048768052j),1
41,60164.5,938.3645669221878,60763.5,0.9901421083380648,276.77395215088194,242.0734100341797,319.2044372558594,(5.263047340893037e-17+0.8595208585132261j),1
42,59864.5,932.5655763149261,60230.0,0.9939315955503901,276.08304679171835,243.40708923339844,317.0455017089844,(5.110569307442492e-17+0.8346193059093723j),1
43,436.5,205.5218584537506,701.5,0.6222380612972203,23.574754744787878,9.763751983642578,91.70441436767578,(5.718455663835134e-16+9.33894681767273j),1
44,646.0,218.9949473142624,1071.5,0.6028931404573028,28.679483013103898,33.674320220947266,35.51030731201172,(2.0493759431150635e-17+0.334688490516926j),1
45,14377.5,2349.7900931835175,121698.5,0.11814032218967366,135.2996731497523,454.36187744140625,595.7574462890625,(5.1929745655670126e-17+0.8480771058533062j),1
46,3294.5,1147.0752437114716,46929.5,0.0702010462502264,64.76640857828998,288.832275390625,329.5915222167969,(3.3658232515942594e-17+0.5496806514233616j),1
47,61.0,30.14213538169861,63.5,0.9606299212598425,8.812923024107548,8.36063003540039,10.461594581604004,(4.6056049992059855e-17+0.7521523760830612j),1
48,3971.5,800.565575838089,23856.5,0.1664745457212919,71.1102724781427,265.076904296875,282.64251708984375,(2.2657901733793815e-17+0.37003161645576715j),1
49,293.5,67.35533845424652,306.0,0.9591503267973857,19.331213267143124,17.746288299560547,21.943702697753906,(4.453533747299332e-17+0.727317255946785j),1
50,69765.0,1003.0336141586304,70150.5,0.9945046720978468,298.03952227590327,268.0599365234375,333.5833435058594,(4.535411702641425e-17+0.7406889408112045j),1
51,1437.5,170.06601703166962,1546.5,0.9295182670546395,42.78179338873952,28.80120277404785,70.30530548095703,(1.363536705708969e-16+2.2268244307800686j),1
52,133.0,52.14213526248932,155.0,0.8580645161290322,13.013103375051497,12.715328216552734,17.36532974243164,(5.695390342793545e-17+0.930127828980388j),1
53,386972.5,2353.245942234993,387996.5,0.99736080093506,701.9321119061499,620.8428955078125,800.0336303710938,(4.976626929582163e-17+0.8127448555856406j),1
54,16.0,15.656854152679443,16.5,0.9696969696969697,4.51351666838205,4.654326438903809,5.575231552124023,(4.037940289576368e-17+0.6594456936298269j),1
55,1852.5,293.17871356010437,2824.5,0.6558682952734998,48.56620488180942,45.95104217529297,75.61473846435547,(8.002096695570667e-17+1.3068415646277831j),1
56,81.5,39.55634891986847,88.0,0.9261363636363636,10.186708148166206,8.801124572753906,15.591202735900879,(8.953785668718138e-17+1.4622641687304636j),1
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
58,81.0,91.53910386562347,128.0,0.6328125,10.155412503859614,4.867625713348389,39.20404815673828,(4.893515564461377e-16+7.99171739618057j),1
59,235.5,87.49747383594513,354.0,0.6652542372881356,17.31611713939158,14.677373886108398,32.07536697387695,(1.1898319146520407e-16+1.94314297882532j),1
60,2886.5,347.5218585729599,4746.0,0.6081963758954909,60.62347685408721,57.02580642700195,104.83628845214844,(9.445904709700904e-17+1.5426333072160088j),1
61,4153.0,409.0193318128586,6255.0,0.6639488409272581,72.71701196614951,72.07038879394531,104.82390594482422,(6.46710445159228e-17+1.056158307210688j),1
62,7748.5,508.51680648326874,10172.5,0.7617104939788646,99.32621311809088,78.64411926269531,151.5266876220703,(1.0084434681918012e-16+1.6469131653206768j),1
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
64,1385.5,336.49242103099823,2375.0,0.5833684210526315,42.00087367222934,22.84539794921875,132.9128875732422,(3.509435284751026e-16+5.731342762981835j),1
65,307.0,78.08325970172882,340.0,0.9029411764705882,19.77080019204319,14.138239860534668,30.886417388916016,(1.18930842734667e-16+1.9422880591770835j),1
66,4846.5,306.977702498436,5396.5,0.8980820902436765,78.55415618259143,68.50000762939453,103.07162475585938,(6.884506672008122e-17+1.1243252628923512j),1
67,4905.5,596.5411913394928,11470.5,0.42766226406869795,79.03085844591554,97.77735137939453,145.49520874023438,(6.747293739862059e-17+1.1019166905200402j),1
68,1306.0,208.0243844985962,1944.5,0.6716379532013371,40.77806819142028,43.15071487426758,54.26884460449219,(4.67016054375371e-17+0.7626950965789087j),1
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
70,2757.0,271.5634878873825,3692.0,0.7467497291440953,59.24796557549334,67.49452209472656,78.6364517211914,(3.6606960803113684e-17+0.5978370388686906j),1
71,1750.5,241.86500489711761,2414.5,0.7249948229447091,47.21023006784549,46.476661682128906,74.19337463378906,(7.619325264481469e-17+1.2443302460409549j),1
72,1390.5,151.29646348953247,1492.0,0.931970509383378,42.07659191230017,41.18251419067383,45.523616790771484,(2.884648680107672e-17+0.4710988804471749j),1
73,3996.0,880.5239473581314,21585.5,0.18512427323897987,71.32927323870412,550.0340576171875,939.346435546875,(8.477020069529354e-17+1.3844024375732473j),1
74,1759.0,177.19595766067505,1900.5,0.9255459089713234,47.32471192927804,41.33586883544922,58.634037017822266,(6.160110247079054e-17+1.006022348871195j),1
75,356.0,85.94112467765808,410.0,0.8682926829268293,21.290215544369623,19.440610885620117,28.89078712463379,(6.731402830623423e-17+1.0993215080968795j),1
76,746.0,126.22539556026459,846.5,0.8812758417011223,30.81942083122964,24.991605758666992,43.875553131103516,(8.835663521568786e-17+1.4429733581503694j),1
77,5145.0,273.4213534593582,5286.0,0.9733257661748014,80.93712039393552,74.07479095458984,89.76148986816406,(4.1906485710394024e-17+0.6843848485877063j),1
78,662.0,99.25483286380768,678.0,0.976401179941003,29.03247455203703,24.672941207885742,34.223114013671875,(5.885842693153655e-17+0.9612310581714838j),1
79,40.5,57.899494767189026,58.5,0.6923076923076923,7.1809610472257885,3.624462366104126,26.449365615844727,(4.426251527747048e-16+7.228617313708371j),1
80,152.5,56.041630268096924,174.5,0.8739255014326648,13.934454799959427,12.639631271362305,21.11408805847168,(8.19338200097964e-17+1.3380808257016132j),1
81,1978.0,243.6223646402359,2592.5,0.762970106075217,50.18433838844697,48.139747619628906,85.1337661743164,(8.931301000111205e-17+1.4585921436824927j),1
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
83,471.5,99.49747323989868,511.0,0.9227005870841487,24.50168250024127,17.970773696899414,38.9444465637207,(1.1772414263457229e-16+1.9225811510149118j),1
84,1614.5,722.4823182821274,13070.0,0.12352716143840857,45.33922413291741,1388.2919921875,4315.0146484375,(1.8019974966817574e-16+2.9428852432168657j),1
85,19181.0,3414.2379229068756,216999.0,0.08839211240604795,156.27542259602166,451.4764099121094,589.8753051757812,(5.1488569161245594e-17+0.8408721469258555j),1
86,6468.5,358.57568085193634,7214.0,0.8966592736345994,90.7521349342229,81.93616485595703,110.75592041015625,(5.56906527759403e-17+0.9094973802195752j),1
87,129353.0,1353.3077828884125,130023.5,0.9948432398758686,405.8292187979169,392.23883056640625,422.1194763183594,(2.4351909741930156e-17+0.39769686670287147j),1
88,265.0,64.28427064418793,276.5,0.9584086799276673,18.36868202552426,15.453720092773438,22.43830108642578,(6.446023417108323e-17+1.0527155130109833j),1
89,97.0,89.79898953437805,137.5,0.7054545454545454,11.11324596323283,5.286689758300781,39.475860595703125,(4.531048660996764e-16+7.399764020371354j),1
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
91,3731.0,1038.9158623218536,34272.0,0.10886437908496732,68.92355723123185,334.9611511230469,444.51751708984375,(5.342042538288589e-17+0.8724217532774229j),1
92,4767.5,496.3157956600189,6550.0,0.7278625954198473,77.91129269576322,69.41056823730469,107.68180847167969,(7.262588835619335e-17+1.1860707659834382j),1
93,3294.5,1147.0752437114716,46929.5,0.0702010462502264,64.76640857828998,288.832275390625,329.5915222167969,(3.3658232515942594e-17+0.5496806514233616j),1
94,3162.0,240.45079112052917,3441.5,0.9187854133372076,63.450637825419726,56.33420181274414,74.34336853027344,(5.272979047240951e-17+0.8611428292487604j),1
95,6132.0,364.3330408334732,6990.5,0.8771904727844932,88.3600865114788,80.83403778076172,102.20490264892578,(4.737719873799948e-17+0.7737283724741751j),1
96,6103.0,1208.6315925121307,51259.5,0.11906085701187097,88.15089869943867,280.0000305175781,285.9341125488281,(1.2673089388466744e-17+0.20696725614749073j),1
97,97.0,89.79898953437805,137.5,0.7054545454545454,11.11324596323283,5.286689758300781,39.475860595703125,(4.531048660996764e-16+7.399764020371354j),1
98,585.5,120.32590079307556,783.5,0.7472878111040204,27.30351174194334,27.7161808013916,37.49109649658203,(5.577659701203488e-17+0.9109009561102632j),1
99,1104.0,178.9949482679367,1456.5,0.7579814624098867,37.492085263260826,27.980012893676758,65.53929138183594,(1.297006641235648e-16+2.1181725900703365j),1
100,1262.5,430.3157961368561,4364.0,0.2892988084326306,40.09320298040733,68.48889923095703,74.33757781982422,(2.5840083320120756e-17+0.42200058560740333j),1
101,1164150.0,4453.521314382553,1172680.5,0.9927256401040181,1217.4735381122005,1099.3616943359375,1349.88134765625,(4.3629184763029406e-17+0.7125186591498176j),1
102,58.5,34.38477599620819,64.5,0.9069767441860465,8.63044108762739,6.384086608886719,13.502099990844727,(1.14113556534506e-16+1.863615805209409j),1
103,331.0,135.19595777988434,798.5,0.4145272385723231,20.529059630371258,53.85979080200195,97.70040130615234,(9.267168593641146e-17+1.5134434842916846j),1
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
105,39739.0,999.1168751716614,44684.5,0.8893240385368528,224.93836104193218,157.82943725585938,349.23211669921875,(1.2086406483839431e-16+1.9738599720759418j),1
106,800.0,402.67618811130524,3937.0,0.2032004064008128,31.915382432114615,67.97456359863281,117.24144744873047,(8.605007203966607e-17+1.405304322839491j),1
107,2127.5,300.49242067337036,2910.0,0.7310996563573883,52.04629796079697,47.092342376708984,70.56231689453125,(6.832685599917354e-17+1.115862239573816j),1
108,613.0,154.71067655086517,947.0,0.6473072861668426,27.937355653723827,25.551822662353516,48.472476959228516,(9.870965417061101e-17+1.612050988731388j),1
109,28527.0,3924.6887123584747,491608.5,0.05802788194264338,190.58253984208517,831.5266723632812,1039.04931640625,(4.5880178132130586e-17+0.7492801706430646j),1
